# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Fri Nov 19 14:31:48 2021
#
# Command line:   ./nu -e OPERA -f 4 -a PARAM_SCAN -t TH24=1.57 -p DM41,-2.0,2.0,80,LOGSCALE -p s22thmue,-4.01,-0.01,80,LOGSCALE 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   OPERA
# Including the following AEDL files:
#   opera.glb (version 3.0.0)
#
# AEDL variables:
#
# External analysis routines included:
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
#   TH24 = 1.57
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    80  0x1
#     s22thmue,      -4.01,      -0.01,    80  0x1
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x0
#
# General parameter scan
#
#                  DM41        s22thmue       chi2_NH          chi2_IH
                  -1.85           -3.11    0.3851738007    0.3822605629
                  -1.85           -3.06    0.3630974746    0.3604521182
                  -1.85           -3.01    0.3438627816    0.3416102397
                  -1.85           -2.96     0.328853434    0.3271464833
                  -1.85           -2.91    0.3197786092    0.3188022961
                  -1.85           -2.86    0.3187259391    0.3187024025
                  -1.85           -2.81    0.3282190602    0.3294127038
                  -1.85           -2.76     0.351279073    0.3540020086
                  -1.85           -2.71    0.3914888447    0.3961064799
                  -1.85           -2.66    0.4530585527    0.4599951428
                  -1.85           -2.61    0.5408901895    0.5506341016
                  -1.85           -2.56    0.6606379142    0.6737462646
                  -1.85           -2.51    0.8187601148    0.8358623395
                  -1.85           -2.46     1.022557835     1.044357631
                  -1.85           -2.41     1.280192807     1.307467743
                  -1.85           -2.36     1.600676723     1.634274672
                  -1.85           -2.31     1.993821604     2.034652969
                  -1.85           -2.26     2.470139236     2.519163799
                  -1.85           -2.21      3.04067576     3.098882792
                  -1.85           -2.16     3.716765801     3.785145993
                  -1.85           -2.11     4.509689408     4.589197098
                  -1.85           -2.06     5.430215038     5.521719358
                  -1.85           -2.01     6.488013841     6.592237741
                  -1.85           -1.96     7.690935996     7.808382902
                  -1.85           -1.91     9.044150782     9.175020045
                  -1.85           -1.86     10.54917123     10.69326585
                  -1.85           -1.81     12.20281472     12.35944832
                  -1.85           -1.76     13.99619528     14.16411014
                  -1.85           -1.71     15.91390118     16.09121471
                  -1.85           -1.66     17.93357421     18.11777656
                  -1.85           -1.61     20.02615176     20.21417868
                  -1.85           -1.56     22.15701745      22.3454155
                  -1.85           -1.51     24.28817624     24.47335806
                  -1.85           -1.46     26.38130032     26.55985663
                  -1.85           -1.41     28.40114196     28.57014665
                  -1.85           -1.36     30.31855584     30.47579119
                  -1.85           -1.31     32.11241752     32.25647013
                  -1.85           -1.26     33.77010158     33.90032631
                  -1.85           -1.21     35.28668493     35.40307507
                  -1.85           -1.16      36.6633767      36.7663944
                  -1.85           -1.11      37.9057232      37.9961345
                  -1.85           -1.06     39.02197654     39.10071557
                  -1.85           -1.01     40.02180783      40.0898771
                  -1.85           -0.96     40.91539078     40.97379451
                  -1.85           -0.91       41.712802     41.76250503
                  -1.85           -0.86     42.42366002     42.46556505
                  -1.85           -0.81     43.05693042     43.09186735
                  -1.85           -0.76     43.62083967     43.64956261
                  -1.85           -0.71     44.12285672      44.1460455
                  -1.85           -0.66      44.5697143     44.58797853
                  -1.85           -0.61      44.9674521     44.98133644
                  -1.85           -0.56     45.32147023     45.33146015
                  -1.85           -0.51     45.63658636     45.64311389
                  -1.85           -0.46     45.91709225     45.92054145
                  -1.85           -0.41     46.16680761      46.1675197
                  -1.85           -0.36     46.38913006     46.38740808
                  -1.85           -0.31     46.58708081     46.58319384
                  -1.85           -0.26     46.76334597     46.75753288
                  -1.85           -0.21     46.92031366     46.91278647
                  -1.85           -0.16     47.06010716     47.05105398
                  -1.85           -0.11     47.18461458     47.17420208
                  -1.85           -0.06     47.29551531     47.28389051
                  -1.85           -0.01      47.3943053     47.38159362
                   -1.8           -4.01      0.69585568    0.6943783093
                   -1.8           -3.96    0.6861656445    0.6845870546
                   -1.8           -3.91    0.6754767696    0.6737920133
                   -1.8           -3.86    0.6637124004    0.6619169336
                   -1.8           -3.81    0.6507972419    0.6488871445
                   -1.8           -3.76    0.6366599198    0.6346321747
                   -1.8           -3.71    0.6212363393    0.6190891795
                   -1.8           -3.66    0.6044740188    0.6022073556
                   -1.8           -3.61    0.5863376037    0.5839535532
                   -1.8           -3.56    0.5668158001    0.5643193219
