# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Fri Nov 19 14:30:10 2021
#
# Command line:   ./nu -e KARMEN -f 4 -a PARAM_SCAN -t TH24=1.57 -p DM41,-2.0,2.0,80,LOGSCALE -p s22thmue,-4.01,-0.01,80,LOGSCALE 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   KARMEN
# Including the following AEDL files:
#
# AEDL variables:
#
# External analysis routines included:
#   KARMEN
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
#   TH24 = 1.57
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    80  0x1
#     s22thmue,      -4.01,      -0.01,    80  0x1
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x0
#
# Initializing KARMEN and LSND codes ...
# General parameter scan
#
#                  DM41        s22thmue       chi2_NH          chi2_IH
                  -1.75           -3.36      6.87349822      6.87349822
                  -1.75           -3.31     6.873513551     6.873513551
                  -1.75           -3.26     6.873530754     6.873530754
                  -1.75           -3.21     6.873550055     6.873550055
                  -1.75           -3.16     6.873571712     6.873571712
                  -1.75           -3.11     6.873596012     6.873596012
                  -1.75           -3.06     6.873623277     6.873623277
                  -1.75           -3.01      6.87365387      6.87365387
                  -1.75           -2.96     6.873688196     6.873688196
                  -1.75           -2.91     6.873726712     6.873726712
                  -1.75           -2.86     6.873769928     6.873769928
                  -1.75           -2.81     6.873818419     6.873818419
                  -1.75           -2.76     6.873872829     6.873872829
                  -1.75           -2.71     6.873933879     6.873933879
                  -1.75           -2.66     6.874002382     6.874002382
                  -1.75           -2.61     6.874079247     6.874079247
                  -1.75           -2.56     6.874165495     6.874165495
                  -1.75           -2.51     6.874262273     6.874262273
                  -1.75           -2.46     6.874370866     6.874370866
                  -1.75           -2.41     6.874492719     6.874492719
                  -1.75           -2.36     6.874629451     6.874629451
                  -1.75           -2.31     6.874782881     6.874782881
                  -1.75           -2.26      6.87495505      6.87495505
                  -1.75           -2.21     6.875148248     6.875148248
                  -1.75           -2.16     6.875365049     6.875365049
                  -1.75           -2.11     6.875608338     6.875608338
                  -1.75           -2.06     6.875881357     6.875881357
                  -1.75           -2.01     6.876187745     6.876187745
                  -1.75           -1.96     6.876531589     6.876531589
                  -1.75           -1.91     6.876917476     6.876917476
                  -1.75           -1.86     6.877350559     6.877350559
                  -1.75           -1.81     6.877836627     6.877836627
                  -1.75           -1.76     6.878382179     6.878382179
                  -1.75           -1.71     6.878994521     6.878994521
                  -1.75           -1.66     6.879681858     6.879681858
                  -1.75           -1.61     6.880453413     6.880453413
                  -1.75           -1.56     6.881319554     6.881319554
                  -1.75           -1.51     6.882291936     6.882291936
                  -1.75           -1.46     6.883383665     6.883383665
                  -1.75           -1.41     6.884609485     6.884609485
                  -1.75           -1.36     6.885985983     6.885985983
                  -1.75           -1.31     6.887531832     6.887531832
                  -1.75           -1.26     6.889268053     6.889268053
                  -1.75           -1.21     6.891218327     6.891218327
