# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Fri Nov 19 14:38:10 2021
#
# Command line:   ./nu -e MUBOONE -f 4 -a PARAM_SCAN --no-ih --bf-spectrum -p DM41,-2.,2.,40,LOGSCALE -p s22thmue,-4.,0.,40,LOGSCALE -p Um4,0.025,0.775,15 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   MUBOONE
# Including the following AEDL files:
#
# AEDL variables:
#
# External analysis routines included:
#   microBooNE
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    40  0x1
#     s22thmue,         -4,          0,    40  0x1
#          Um4,      0.025,      0.775,    15  0x0
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x2
#
# Initializing microBooNE code ...
# Flags in MicroBooNE code: OSC_NO_NUBAR OSC_NO_NUMU 
# General parameter scan
#
#                  DM41        s22thmue             Um4       chi2_NH          chi2_IH
                     -2            -2.6           0.675     25.00344346           1e+50
                     -2            -2.6           0.725     25.00341959           1e+50
                     -2            -2.6           0.775     25.00339383           1e+50
                     -2            -2.5           0.025           1e+50           1e+50
                     -2            -2.5           0.075     25.00362309           1e+50
                     -2            -2.5           0.125     25.00365006           1e+50
                     -2            -2.5           0.175     25.00365336           1e+50
                     -2            -2.5           0.225     25.00365006           1e+50
                     -2            -2.5           0.275     25.00364337           1e+50
                     -2            -2.5           0.325     25.00363426           1e+50
                     -2            -2.5           0.375     25.00362307           1e+50
                     -2            -2.5           0.425     25.00360996           1e+50
                     -2            -2.5           0.475       25.003595           1e+50
                     -2            -2.5           0.525     25.00357823           1e+50
                     -2            -2.5           0.575     25.00355966           1e+50
                     -2            -2.5           0.625     25.00353926           1e+50
                     -2            -2.5           0.675     25.00351703           1e+50
                     -2            -2.5           0.725     25.00349292           1e+50
                     -2            -2.5           0.775     25.00346687           1e+50
                     -2            -2.4           0.025           1e+50           1e+50
                     -2            -2.4           0.075     25.00370405           1e+50
                     -2            -2.4           0.125     25.00373925           1e+50
                     -2            -2.4           0.175     25.00374475           1e+50
                     -2            -2.4           0.225     25.00374232           1e+50
                     -2            -2.4           0.275     25.00373603           1e+50
                     -2            -2.4           0.325     25.00372708           1e+50
