# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Tue Nov 16 10:52:10 2021
#
# Command line:   ./nu-tmp-gFe14 -f 4 -a PARAM_SCAN --no-ih --bf-spectrum -p DM41,-2.,2.,20,LOGSCALE -p s22thmue,-4.,0.,20,LOGSCALE -p Um4,0.025,0.775,15 -e MUBOONE 
#
# Computing slice 1 of 1 in parallel environment.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   MUBOONE
# Including the following AEDL files:
#
# AEDL variables:
#
# External analysis routines included:
#   microBooNE
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    20  0x1
#     s22thmue,         -4,          0,    20  0x1
#          Um4,      0.025,      0.775,    15  0x0
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x2
#
# Initializing microBooNE code ...
# Flags in MicroBooNE code: OSC_NO_NUBAR OSC_NO_NUMU MUBOONE_SENSITIVITY 
# General parameter scan
#
#                  DM41        s22thmue             Um4       chi2_NH          chi2_IH
                   -1.8              -4           0.725 5.220147666e-08           1e+50
                   -1.8              -4           0.775 3.938030013e-08           1e+50
                   -1.8            -3.8           0.025 1.898235663e-07           1e+50
                   -1.8            -3.8           0.075 2.080883386e-07           1e+50
                   -1.8            -3.8           0.125 2.060954766e-07           1e+50
                   -1.8            -3.8           0.175 2.011446003e-07           1e+50
                   -1.8            -3.8           0.225 1.942330862e-07           1e+50
                   -1.8            -3.8           0.275 1.856306653e-07           1e+50
                   -1.8            -3.8           0.325 1.755074555e-07           1e+50
                   -1.8            -3.8           0.375 1.640250223e-07           1e+50
                   -1.8            -3.8           0.425 1.513575306e-07           1e+50
                   -1.8            -3.8           0.475 1.376986456e-07           1e+50
                   -1.8            -3.8           0.525  1.23263911e-07           1e+50
                   -1.8            -3.8           0.575 1.082915896e-07           1e+50
                   -1.8            -3.8           0.625 9.304469159e-08           1e+50
                   -1.8            -3.8           0.675 7.780952643e-08           1e+50
                   -1.8            -3.8           0.725 6.289754562e-08           1e+50
                   -1.8            -3.8           0.775 4.864561512e-08           1e+50
                   -1.8            -3.6           0.025 2.085277164e-07           1e+50
                   -1.8            -3.6           0.075 2.405698863e-07           1e+50
                   -1.8            -3.6           0.125 2.394480662e-07           1e+50
                   -1.8            -3.6           0.175 2.343604377e-07           1e+50
                   -1.8            -3.6           0.225 2.269661984e-07           1e+50
                   -1.8            -3.6           0.275 2.176614484e-07           1e+50
                   -1.8            -3.6           0.325 2.066546453e-07           1e+50
                   -1.8            -3.6           0.375  1.94122688e-07           1e+50
                   -1.8            -3.6           0.425 1.802475563e-07           1e+50
                   -1.8            -3.6           0.475 1.652274519e-07           1e+50
                   -1.8            -3.6           0.525 1.492813658e-07           1e+50
                   -1.8            -3.6           0.575 1.326507615e-07           1e+50
                   -1.8            -3.6           0.625 1.156003901e-07           1e+50
                   -1.8            -3.6           0.675 9.842020012e-08           1e+50
                   -1.8            -3.6           0.725 8.142400129e-08           1e+50
                   -1.8            -3.6           0.775 6.495133297e-08           1e+50
                   -1.8            -3.4           0.025 2.382575062e-07           1e+50
                   -1.8            -3.4           0.075 2.952274992e-07           1e+50
                   -1.8            -3.4           0.125 2.958089472e-07           1e+50
                   -1.8            -3.4           0.175 2.906113737e-07           1e+50
                   -1.8            -3.4           0.225 2.825142805e-07           1e+50
